SchoolName
Abbotsford Christian Academy
Abundant Life Christian Academy
Abundant Life Christian School
Agape School for Girls
Aquinas High School
Assumption High School
Badger State Baptist School
Baldwin Christian School
Bay City Baptist School
Believers in Christ Christian Academy
Berean Christian School
Beth Haven Academy
Bethel Christian School
Calvary Baptist School
Catholic Central High School
Catholic Memorial High School
Central Wisconsin Christian School
Christian Life School
Clara Mohammed School
Columbus Catholic Middle/High School
Cornerstone Christian Academy
Cornerstone Christian School
Coulee Christian School
Destiny High School
Divine Savior Holy Angels High School
Dominican High School
Dr. Brenda Noach Elementary/Secondary School
Eagle Christian School
Early View Academy of Excellence
Eastbrook Academy
Edgewood High School of the Sacred Heart
Faith Baptist School
Faith Christian Academy
Faith Christian School
Falls Baptist Academy
First Baptist Christian School
Fond du Lac Christian School
Fox Valley Lutheran High School
Good Shepherd Christian Academy
Grace Christian Academy
Growing Lights Christian Academy
Heritage Christian Schools
Holy Redeemer Christian Academy
Hope Christian High School
Immanuel Lutheran High School
Kettle Moraine Lutheran High School
Lake Country Lutheran High School
Lake Country Victory High School
Lakeside Lutheran High School
Liberty Christian School
Living Word Lutheran High School
Lourdes High School
Luther High School
Luther Preparatory School
Lutheran High School
Madison Baptist Academy
Manitowoc Lutheran High School
Maranatha Academy
Maranatha Baptist Academy
Marquette University High School
Martin Luther High School
McDonell Central Catholic High School
Messmer Catholic Schools
Milwaukee Lutheran High School
Mountain Top Christian Academy
Mukwonago Baptist Academy
New Glarus Christian School
Newman Catholic High School
Northeastern Wisconsin Lutheran High School
Northern Lights Christian Academy
Northland Lutheran High School
Northwoods Christian Academy
Northwoods Mennonite School
Notre Dame de la Baie Academy
Oakhill Christian School
Oshkosh Christian School & Valley Christian High School
Pacelli High School
Peniel Christian School
Peninsula Christian School
Pioneer Christian School
Pius XI High School
Prairie Christian Academy
Providence Academy
Queen of the Holy Rosary School
Reedsburg Christian School
Regis High School
Rock County Christian School
Roncalli High School
Salam School
Sheboygan Area Lutheran High School
Sheboygan County Christian High School
Shoreland Lutheran High School
Southside Baptist School
St. Ambrose Academy
St. Anthony School of Milwaukee
St. Augustine School
St. Catherine's High School
St. Coletta Day School of Milwaukee
St. Joan Antida High School
St. Joseph Catholic Academy
St. Lawrence Seminary High School
St. Mary Catholic High School
St. Mary's Springs Academy High School
St. Thomas Aquinas Academy
St. Thomas More High School
Starr Academy
Stevens Point Christian Academy
Texas Bufkin Christian Academy
Tomah Baptist Academy
Torah Academy of Milwaukee
Trinity Academy
Trinity Baptist School
Twin Ports Baptist School
Utica Christian School
Waukesha Christian Academy
Winnebago Lutheran Academy
Wisconsin Academy
Wisconsin Institute for Torah Study
Wisconsin Lutheran High School
Wisconsin Valley Lutheran High School
Wolf River Lutheran High School
Xavier High School
